Substance,Class,Sample.ID,total.Wt.Percent,mg,Per1,Per2,Per3,Per4,Per5,Per6,Per7,P3_7_index,P4_7_index,P5_7_index,P1_2_index,P1_index,P2_index,P3_index,P4_index,P5_index,P6_index,P7_index,Primary_PAH
155_HFO,HFO,27,28,1120,51,42,6,0,0,0,0,1.68,0,0,26.04,14.28,11.76,1.68,0,0,0,0,1
160_FO,FO,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
164_HFO,HFO,18,4.6,184,0,2,37,26,19,12,4,4.508,2.806,1.61,0.092,0,0.092,1.702,1.196,0.874,0.552,0.184,3
166_HFO,HFO,52,2,80,0,3,34,37,16,8,2,1.94,1.26,0.52,0.06,0,0.06,0.68,0.74,0.32,0.16,0.04,4
168_SRGO,SRGO,151,4.5,180,1,26,73,1,0,0,0,3.33,0.045,0,1.215,0.045,1.17,3.285,0.045,0,0,0,3
169_SRGO,SRGO,61,5.4,216,3,54,42,1,0,0,0,2.322,0.054,0,3.078,0.162,2.916,2.268,0.054,0,0,0,2
170_SRGO,SRGO,115,3.9,156,3,64,33,0,0,0,0,1.287,0,0,2.613,0.117,2.496,1.287,0,0,0,0,2
171_SRGO,SRGO,157,5.5,220,0,12,76,12,0,0,0,4.84,0.66,0,0.66,0,0.66,4.18,0.66,0,0,0,3
172_SRGO,SRGO,158,4.2,168,0,20,77,2,0,0,0,3.318,0.084,0,0.84,0,0.84,3.234,0.084,0,0,0,3
173_OGO,OGO,110,2.6,104,8,76,15,0,0,0,0,0.39,0,0,2.184,0.208,1.976,0.39,0,0,0,0,2
174_OGO,OGO,86,3.1,124,10,67,23,0,0,0,0,0.713,0,0,2.387,0.31,2.077,0.713,0,0,0,0,2
175_VHGO,VHGO,156,6.7,268,1,56,43,0,0,0,0,2.881,0,0,3.819,0.067,3.752,2.881,0,0,0,0,2
176_VHGO,VHGO,96,7.2,288,0,12,62,20,5,1,0,6.336,1.872,0.432,0.864,0,0.864,4.464,1.44,0.36,0.072,0,3
